------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 044F 9F00 372C 06
custom name, Calasanz1
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 34
time diff [logger-smartphone](sec), -4
lat, 43.461900
long, -3.797754
accuracy (m), 4.8
------------------------------,--------------------
time,temp
2025-05-28 11:33:30,NA
2025-05-28 11:33:40,26.8
2025-05-28 11:33:50,26.2
2025-05-28 11:34:00,25.4
2025-05-28 11:34:10,24.7
2025-05-28 11:34:20,24.0
2025-05-28 11:34:30,23.4
2025-05-28 11:34:40,22.9
2025-05-28 11:34:50,22.4
2025-05-28 11:35:00,22.0
2025-05-28 11:35:10,21.6
2025-05-28 11:35:20,21.2
2025-05-28 11:35:30,21.0
2025-05-28 11:35:40,20.7
2025-05-28 11:35:50,20.5
2025-05-28 11:36:00,20.3
2025-05-28 11:36:10,20.1
2025-05-28 11:36:20,20.0
2025-05-28 11:36:30,19.9
2025-05-28 11:36:40,19.8
2025-05-28 11:36:50,19.6
2025-05-28 11:37:00,19.6
2025-05-28 11:37:10,19.5
2025-05-28 11:37:20,19.5
2025-05-28 11:37:30,19.4
2025-05-28 11:37:40,19.3
2025-05-28 11:37:50,19.4
2025-05-28 11:38:00,19.3
2025-05-28 11:38:10,19.2
2025-05-28 11:38:20,19.2
2025-05-28 11:38:30,19.2
2025-05-28 11:38:40,19.3
2025-05-28 11:38:50,19.5
2025-05-28 11:39:00,19.9
